study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB32839	SAMEA7225790	ERX10611165	ERR11178279	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/079/ERR11178279/ERR11178279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/079/ERR11178279/ERR11178279_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178279/35101_2#16.cram	
PRJEB32839	SAMEA7225696	ERX10611166	ERR11178280	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/080/ERR11178280/ERR11178280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/080/ERR11178280/ERR11178280_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178280/35101_2#17.cram	
PRJEB32839	SAMEA7225806	ERX10611167	ERR11178281	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/081/ERR11178281/ERR11178281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/081/ERR11178281/ERR11178281_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178281/35101_2#18.cram	
PRJEB32839	SAMEA7225713	ERX10611168	ERR11178282	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/082/ERR11178282/ERR11178282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/082/ERR11178282/ERR11178282_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178282/35101_2#19.cram	
PRJEB32839	SAMEA7225838	ERX10611169	ERR11178283	39320	Heterobilharzia americana	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/083/ERR11178283/ERR11178283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/083/ERR11178283/ERR11178283_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178283/35101_2#20.cram	
PRJEB32839	SAMEA7225747	ERX10611170	ERR11178284	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/084/ERR11178284/ERR11178284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/084/ERR11178284/ERR11178284_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178284/35101_2#21.cram	
PRJEB32839	SAMEA7225761	ERX10611171	ERR11178285	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/085/ERR11178285/ERR11178285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/085/ERR11178285/ERR11178285_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178285/35101_2#22.cram	
PRJEB32839	SAMEA7225668	ERX10611172	ERR11178286	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/086/ERR11178286/ERR11178286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/086/ERR11178286/ERR11178286_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178286/35101_2#23.cram	
PRJEB32839	SAMEA7225777	ERX10611173	ERR11178287	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/087/ERR11178287/ERR11178287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/087/ERR11178287/ERR11178287_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178287/35101_2#24.cram	
PRJEB32839	SAMEA7225686	ERX10611174	ERR11178288	6183	Schistosoma mansoni	ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/088/ERR11178288/ERR11178288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/088/ERR11178288/ERR11178288_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR111/ERR11178288/35101_2#25.cram	
